M,N,Num_Traitors,NOISE_TIME,T1_TIME,Abort_Count,Correct_Count,Incorrect_Count
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,0,2,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,2,0,0
1,3,0,5e-11,5e-05,0,2,0
